"4KR35","5MP","O","20020401","F"
"4KR87","5FT","O","20010401","F"
"4KV96","5LG","O","20020401","X"
"4KW68","5HV","O","20020401","F"
"4KX17","4KX17","O","20000401","F"
"4KX17","5GY","R","20010401","F"
"4KX17","5AD","O","20000401","F"
"4KX45","5M3","O","20020401","X"
"4KY43","5KY","O","20020401","F"
"4LA06","5AG","O","20000401","F"
"4LA06","5AG","R","20010401","F"
"4LA06","4LA06","O","20000401","F"
"4LA39","5KK","O","20020401","F"
"4LC37","4GM61","R","20011001","F"
"4LE25","5G7","O","20020401","F"
"4LE53","5DH","O","20010401","F"
"4LF60","5HX","O","20020401","X"
"4LH11","5LR","O","20020401","F"
"4LH19","5HX","O","20020401","X"
"4LH25","5K4","O","20020401","F"
"4LH99","4YV57","R","20010401","F"
"4LJ52","5MJ","O","20020401","F"
"4LJ99","4RJ84","R","20010401","F"
"4LL24","5CF","R","20010401","F"
"4LL24","5CF","O","20001001","F"
"4LL24","4LL24","O","20001001","F"
"4LL74","5LV","O","20020401","F"
"4LM56","4AH48","R","20010401","F"
"4LN71","4NT59","R","20010401","F"
"4LN98","5AJ","R","20010401","F"
"4LN98","5AJ","O","20000401","F"
"4LN98","4LN98","O","20000401","F"
"4LP07","5E6","O","20010401","F"
"4LP19","5DT","O","20010401","F"
"4LQ71","5JD","O","20020401","F"
"4LV07","5DP","O","20010401","F"
"4LW47","5MN","O","20020401","F"
"4LW97","4TH96","R","20000601","F"
"4LY30","5HM","O","20020401","F"
"4MC99","5ML","O","20020401","F"
"4MD79","5DR","O","20010401","F"
"4MD81","5HQ","O","20020401","X"
"4MD87","5M7","O","20020401","X"
"4ME36","5MV","O","20020401","X"
"4ME54","5FA","O","20010401","F"
"4MF52","5MM","O","20020401","F"
"4MG09","5GE","O","20010401","F"
"4MG31","4MG31","O","20001001","F"
"4MG31","5AW","O","20001001","F"
"4MG31","5AW","R","20010401","F"
"4MG55","5DX","O","20010401","F"
"4MH24","TAG","O","20021001","F"
"4MH63","5H6","O","20020401","F"
"4MJ30","5HD","O","20020401","F"
"4MK43","5M3","O","20020401","X"
"4ML64","5EA","O","20010401","F"
"4ML84","4FF02","R","20010401","F"
"4MP35","5L8","O","20020401","F"
"4MP52","4GM61","R","20011001","F"
"4MQ34","4MQ34","O","20000401","F"
"4MQ34","5AV","R","20010401","F"
"4MQ34","5AV","O","20000401","F"
"4MQ91","4VP62","R","20010401","F"
"4MR58","5MD","O","20020401","X"
"4MR97","5GR","O","20010401","F"
"4MT65","4MT65","O","20000401","F"
"4MT65","5AQ","R","20010401","F"
"4MT65","5AQ","O","20000401","F"
"4MT92","4EK66","R","20010401","F"
"4MT99","5FP","O","20010401","F"
"4MV03","5EG","O","20010401","F"
"4MV07","5L3","O","20020401","X"
"4MV09","5LL","O","20020401","F"
"4MW56","5D6","O","20010401","F"
"4MW82","5L1","O","20020401","X"
"4MW82","5LY","O","20020401","F"
"4MX22","4MX22","O","20000401","F"
"4MX22","5AC","R","20010401","F"
"4MX22","5AC","O","20000401","F"
"4MX32","5HG","O","20020401","X"
"4MY29","5H7","O","20020401","F"
"4MY77","5EY","O","20010401","F"
"4NA22","5FV","O","20010401","F"
"4NA24","5D4","O","20010401","F"
"4NA70","4NA70","O","20001001","F"
"4NA70","5CG","R","20010401","F"
"4NA70","5CG","O","20001001","F"
"4NC36","5H8","O","20020401","X"
"4NC42","5HP","O","20020401","X"
"4NC56","5GP","O","20010401","F"
"4NC70","5D7","O","20010401","X"
"4ND41","5HX","O","20020401","X"
"4ND46","5KA","O","20020401","F"
"4NE14","4EK66","R","20010401","F"
"4NE33","5HH","O","20020401","F"
"4NE42","5CL","O","20001001","F"
"4NE42","4CQ05","O","20001001","F"
"4NE48","5K7","O","20020401","X"
"4NE66","5HG","O","20020401","X"
"4NE95","5CH","R","20010401","F"
"4NE95","5CH","O","20001001","F"
"4NE95","4NE95","O","20001001","F"
"4NG74","5DG","O","20010401","F"
"4NH25","5J2","O","20020401","X"
"4NJ22","5K9","O","20020401","X"
"4NJ39","5KG","O","20020401","X"
"4NK20","5JP","O","20020401","F"
"4NK73","5EF","O","20010401","X"
"4NM47","5GX","O","20010401","F"
"4NP19","5JE","O","20020401","X"
"4NP98","5GC","O","20010401","X"
"4NQ86","5KR","O","20020401","F"
"4NR11","5D3","O","20010401","F"
"4NR32","5CR","O","20001001","F"
"4NR32","4HQ16","O","20001001","F"
"4NR34","5FD","O","20010401","F"
"4NT19","5H9","O","20020401","F"
"4NT23","4NT23","O","20000401","F"
"4NT23","5AM","R","20010401","F"
"4NT23","5AM","O","20000401","F"
"4NT59","5JM","O","20020401","F"
"4NV06","5A8","O","20010401","X"
"4NV90","4DY93","R","20010401","F"
"4NV90","4JP38","R","20010401","F"
"4NW17","4FM82","R","20010401","F"
"4NX08","5GJ","O","20010401","F"
"4NX44","5C9","O","20010401","X"
"4NY10","5DE","O","20010401","F"
"4NY30","5JC","O","20020401","F"
"4PA23","5AA","R","20010401","F"
"4PA23","5AA","O","20000401","F"
